,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,4180,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Fitaihi Holding Group Company SJSC,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,4.15,,-0.26,-5.90%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"1,141M",-,-,,,
,,,,,,1 Month
,,,,,,
,,,,,,
,4180,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Feb 25, 2024",3.36,3.49,3.34,3.45,"7,514,733"
,"Feb 26, 2024",3.50,3.72,3.47,3.50,"20,046,430"
,"Feb 27, 2024",3.60,3.74,3.50,3.73,"13,655,485"
,"Feb 28, 2024",3.74,3.80,3.67,3.72,"9,296,544"
,"Feb 29, 2024",3.72,3.80,3.68,3.78,"5,748,667"
,"Mar 3, 2024",3.82,3.98,3.82,3.90,"8,690,309"
,"Mar 4, 2024",3.92,3.93,3.73,3.75,"4,940,893"
,"Mar 5, 2024",3.74,4.03,3.73,3.98,"11,478,685"
,"Mar 6, 2024",3.99,4.06,3.92,4.00,"6,356,770"
,"Mar 7, 2024",4.01,4.10,4.00,4.02,"6,264,818"
,"Mar 10, 2024",4.02,4.04,3.93,3.98,"4,386,111"
,"Mar 11, 2024",4.00,4.00,3.88,3.95,"2,991,709"
,"Mar 12, 2024",3.90,4.00,3.90,3.95,"2,718,561"
,"Mar 13, 2024",3.96,4.10,3.90,4.04,"5,384,569"
,"Mar 14, 2024",4.04,4.18,3.98,4.17,"12,352,065"
,"Mar 17, 2024",4.18,4.35,4.10,4.23,"13,635,735"
,"Mar 18, 2024",4.24,4.30,4.13,4.20,"7,048,869"
,"Mar 19, 2024",4.21,4.45,4.20,4.38,"11,403,271"
,"Mar 20, 2024",4.38,4.50,4.33,4.50,"10,387,438"
,"Mar 21, 2024",4.52,4.53,4.38,4.41,"5,939,609"